Nicrophorus tomentosus
Trogon elegans
Orthosoma brunneum
Larus glaucescens
Archilestes grandis
Eremnophila aureonotata
Trogon citreolus
Hemiargus ceraunus
Lucanus cervus
Gaura lindheimeri
Threskiornis aethiopicus
Digitalis purpurea
Gonolobus suberosus
Cepphus columba
Phyllodoce empetriformis
Cepphus grylle
Anthornis melanura
Ellychnia corrusca
Callophrys henrici
Threskiornis moluccus
Lucanus capreolus
Wisteria sinensis
Thraupis episcopus
Oenothera macrocarpa
Liriodendron tulipifera
Cuscuta gronovii
Porphyrio hochstetteri
Rupornis magnirostris
Prumnopitys taxifolia
Cirsium andersonii
Ochlodes sylvanus
Viola ocellata
Boerhavia coccinea
Phidippus audax
Argia lugens
Argia moesta
Carex pensylvanica
Spartina pectinata
Perilla frutescens
Sterna paradisaea
Sterna hirundo
Trigonopeltastes delta
Progomphus obscurus
Argia plana
Mikania scandens
Spigelia marilandica
Argia sedula
Olivella biplicata
Pituophis deppei
Helenium bigelovii
Choristoneura rosaceana
Argia translata
Solidago flexicaulis
Persicaria sagittata
Pituophis catenifer
Ilyanassa obsoleta
Eupithecia miserulata
Pharomachrus mocinno
Pituophis catenifer deserticola
Viola canadensis
Pituophis catenifer affinis
Pituophis catenifer annectens
Aseroe rubra
Cucullia convexipennis
Trifolium hybridum
Palomena prasina
Amaryllis belladonna
Epigaea repens
Daucus pusillus
Phalacrocorax pelagicus
Quercus nigra
Argynnis paphia
Stercorarius pomarinus
Nicotiana obtusifolia
Eumorpha achemon
Rissa tridactyla
Rynchops niger
Bothriochloa laguroides
Alca torda
Trifolium aureum
Fratercula arctica
Nuphar polysepala
Nuttallanthus texanus
Acanthus mollis
Mimosa nuttallii
Daphne laureola
Chlidonias niger
Arigomphus villosipes
Glaucidium gnoma
Turdus pilaris
Phyllodoce breweri
Oenothera rosea
Agrilus planipennis
Turdus rufopalliatus
Trachemys scripta elegans
Turdus merula
Turdus plumbeus
Pinguicula vulgaris
Turdus grayi
Tetraneuris scaposa
Leycesteria formosa
Anous stolidus
Opuntia engelmannii
Opuntia littoralis
Salvia engelmannii
Opuntia phaeacantha
Opuntia polyacantha
Turdus viscivorus
Spea bombifrons
Octogomphus specularis
Emmelina monodactyla
Cerorhinca monocerata
Viola purpurea
Pacifastacus leniusculus
Zale horrida
Potentilla norvegica
Pseudoleon superbus
Orthilia secunda
Laetiporus sulphureus
Helminthotheca echioides
Ranunculus abortivus
Orgyia vetusta
Procavia capensis
Orgyia antiqua
Melia azedarach
Calocedrus decurrens
Vanessa virginiensis
Idia americalis
Jacana spinosa
Jacana jacana
Pomacea canaliculata
Saxicola rubicola
Quercus michauxii
Aspidoscelis marmorata
Pica hudsonia
Clogmia albipunctata
Agrius cingulata
Coluber flagellum piceus
Lottia gigantea
Odocoileus hemionus hemionus
Centaurea americana
Oenothera biennis
Paeonia brownii
Cenopis reticulatana
Pancratium maritimum
Nymphalis californica
Parrhasius m-album
Wyethia mollis
Megalographa biloba
Iva annua
Mirounga leonina
Papaver heterophyllum
Glottidium vesicarium
Celtis pallida
Prunus avium
Gavia pacifica
Parnassia palustris
Passer italiae
Scabiosa atropurpurea
Humulus lupulus
Podocarpus nivalis
Fregata magnificens
Impatiens pallida
Fumaria officinalis
Fregata minor
Tiarella cordifolia
Hypolimnas bolina
Mitella diphylla
Clintonia borealis
Speranza pustularia
Falco mexicanus
Vanellus armatus
Falco peregrinus
Grindelia stricta
Abronia umbellata
Amphipyra pyramidoides
Strix nebulosa
Alnus rhombifolia
Pinus mugo
Volvopluteus gloiocephalus
Potentilla anserina
Gaultheria hispidula
Auriparus flaviceps
Pennisetum setaceum
Falco rufigularis
Nymphaea alba
Dioprosopa clavata
Falco columbarius
Phyllodesma americana
Phyllocladus alpinus
Bagrada hilaris
Acer spicatum
Camassia quamash
Ammospermophilus harrisii
Gentiana newberryi
Catharus ustulatus
Silene laciniata
Entoloma hochstetteri
Falco novaeseelandiae
Cordyline indivisa
Fuchsia excorticata
Aristotelia serrata
Sceloporus clarkii
Anemone virginiana
Catharus guttatus
Luscinia svecica
Metrosideros fulgens
Lygaeus kalmii
Coprosma grandifolia
Dasypus novemcinctus
Myrsine divaricata
Linanthus californicus
Leucorrhinia hudsonica
Caltha palustris
Oclemena acuminata
Peritoma arborea
Caracara cheriway
Caracara plancus
Saxicola rubetra
Sedum ternatum
Athyrium filix-femina
Calcarius lapponicus
Persicaria amphibia
Ocypode quadrata
Garrulus glandarius
Milvago chimachima
Leucorrhinia proxima
Nerodia taxispilota
Nerodia sipedon
Nerodia sipedon sipedon
Myodocha serripes
Clavaria fragilis
Chalcoela iphitalis
Lithacodes fasciola
Dendrobates auratus
Meleagris gallopavo intermedia
Buglossoides arvensis
Chlosyne palla
Mycteria americana
Stenopelmatus fuscus
Sialia currucoides
Sialia mexicana
Nerodia fasciata confluens
Nerodia clarkii clarkii
Caenurgina crassiuscula
Sialia sialis
Nerodia cyclopion
Nerodia erythrogaster
Mantis religiosa
Nerodia erythrogaster transversa
Plecia nearctica
Cathartes aura
Clematis drummondii
Nerodia erythrogaster flavigaster
Cyprinus carpio
Cathartes burrovianus
Calluna vulgaris
Uvularia perfoliata
Coragyps atratus
Poecile rufescens
Lycaena hyllus
Ambystoma opacum
Pelophylax perezi
Jabiru mycteria
Picea pungens
Schinus terebinthifolius
Chimaphila umbellata
Ceanothus prostratus
Muscicapa striata
Persicaria virginiana
Anacamptis pyramidalis
Anaxyrus americanus
Apis mellifera
Jadera haematoloma
Pteridium aquilinum
Galinsoga quadriradiata
Charadrius vociferus
Scantius aegyptius
Pyrola picta
Cepaea nemoralis
Charadrius melodus
Phoenicurus phoenicurus
Charadrius hiaticula
Ondatra zibethicus
Charadrius montanus
Eurybia divaricata
Crassula ovata
Echinacea pallida
Asclepias variegata
Phlox diffusa
Charadrius semipalmatus
Phoenix canariensis
Lepus californicus
Phoradendron californicum
Himantopus leucocephalus
Calystegia soldanella
Hymenophyllum dilatatum
Himantopus mexicanus
Haematopus bachmani
Haematopus palliatus
Libellula comanche
Pica pica
Tetracis crocallata
Sambucus nigra
Antrodiaetus riversi
Haematopus unicolor
Haematopus finschi
Juniperus ashei
Vanellus vanellus
Hymenophyllum nephrophyllum
Coluber flagellum testaceus
Caranx melampygus
Pittosporum crassifolium
Pittosporum tenuifolium
Vanellus spinosus
Vanellus chilensis
Comarum palustre
Scutellaria drummondii
Vanellus miles
Mimulus primuloides
Haemorhous cassinii
Tettigonia viridissima
Silene laciniata californica
Philadelphus lewisii
Columbina inca
Epipactis gigantea
Recurvirostra avosetta
Ceanothus cordulatus
Acris blanchardi
Rhizocarpon geographicum
Pluvialis squatarola
Pluvialis dominica
Chimaphila menziesii
Platanthera dilatata
Hypsiglena jani
Vespula vulgaris
Crepis capillaris
Anaxyrus speciosus
Erithacus rubecula
Lontra canadensis
Asclepias cordifolia
Quercus durata
Pseudognaphalium luteoalbum
Heloderma suspectum
Melanerpes aurifrons
Polygonia comma
Phigalia titea
Boloria selene
Libellula semifasciata
Theba pisana
Elephantopus carolinianus
Balsamorhiza sagittata
Glaucium flavum
Libellula vibrans
Lepus americanus
Hydrangea arborescens
Keckiella cordifolia
Egretta gularis
Polanisia dodecandra
Egretta caerulea
Egretta tricolor
Polemonium occidentale
Egretta thula
Hyalymenus tarsatus
Ambystoma mavortium
Egretta sacra
Asclepias speciosa
Monticola solitarius
Polygonum aviculare
Ardea purpurea
Asclepias latifolia
Ardea cinerea
Oryctolagus cuniculus
Ardea herodias
Chlosyne theona
Diabrotica undecimpunctata undecimpunctata
Pyrisitia proterpia
Mentzelia laevicaulis
Campanula rotundifolia
Populus trichocarpa
Emmenanthe penduliflora
Cacyreus marshalli
Rutpela maculata
Cyclophora pendulinaria
Pinus contorta murrayana
Nycticorax nycticorax
Trametes versicolor
Tragopogon porrifolius
Tragopogon dubius
Ardeola ralloides
Cissus incisa
Nyctanassa violacea
Potentilla gracilis
Plestiodon skiltonianus
Senna lindheimeriana
Craugastor augusti
Lobelia inflata
Bostrychia hagedash
Ixobrychus exilis
Castilleja chromosa
Packera obovata
Pseudohydnum gelatinosum
Aramides cajaneus
Bubulcus ibis
Proboscidea louisianica
Butorides virescens
Porphyrio martinicus
Melampyrum lineare
Trithemis annulata
Pennantia corymbosa
Chamaecrista fasciculata
Coccoloba uvifera
Gaultheria procumbens
Rubus odoratus
Botaurus lentiginosus
Pieris napi
Cochlearius cochlearius
Apocynum androsaemifolium
Caulophyllum giganteum
Sciurus vulgaris
Echinacea purpurea
Sciurus variegatoides
Autochton cellus
Sciurus aureogaster
Pteris tremula
Scolypopa australis
Mimulus ringens
Sciurus carolinensis
Argia immunda
Neverita lewisii
Sciurus niger
Anhinga novaehollandiae
Goodyera pubescens
Sciurus griseus
Pyrola asarifolia
Anhinga rufa
Myiarchus tuberculifer
Lewisia rediviva
Aquila chrysaetos
Fagus sylvatica
Quercus ilex
Hylocichla mustelina
Cimbex americana
Sitochroa palealis
Cercis occidentalis
Regina grahamii
Procyon lotor lotor
Pyronia tithonus
Dudleya cymosa
Clemmys guttata
Cladonia rangiferina
Crotalus triseriatus
Lysimachia ciliata
Cisseps fulvicollis
Pantherophis alleghaniensis quadrivittata
Acer pseudoplatanus
Paulownia tomentosa
Pyrus calleryana
Accipiter nisus
Rapistrum rugosum
Accipiter gentilis
Abies balsamea
Reseda luteola
Rhagonycha fulva
Egretta rufescens
Laportea canadensis
Ligustrum vulgare
Rhodiola integrifolia
Lonicera canadensis
Lonicera dioica
Lonicera sempervirens
Marmota marmota
Florisuga mellivora
Bucephala clangula
Actaea racemosa
Marmota flaviventris
Marmota caligata
Connochaetes taurinus
Apios americana
Asclepias linaria
Eumorpha fasciatus
Todiramphus chloris
Marmota monax
Grus americana
Allotropa virgata
Aralia racemosa
Aralia nudicaulis
Pasiphila rectangulata
Himantopus himantopus
Oreta rosea
Sequoiadendron giganteum
Asclepias asperula
Broussonetia papyrifera
Jacobaea vulgaris
Rosa nutkana
Ceanothus herbaceus
Phoenicopterus roseus
Rosa rubiginosa
Rosa woodsii
Melanitta americana
Hierophis viridiflavus
Athene cunicularia
Falcipennis canadensis
Circus approximans
Circus cyaneus
Lithobates blairi
Circus aeruginosus
Vespa crabro
Tropaeolum majus
Libellula forensis
Buteo albonotatus
Ischnura denticollis
Butorides striata
Platalea ajaja
Buteo brachyurus
Ischnura hastata
Ardea alba
Chrysochus cobaltinus
Ischnura posita
Lilium humboldtii
Buteo swainsoni
Cooperia pedunculata
Grammia ornata
Buteo lagopus
Lampropeltis triangulum
Asclepias amplexicaulis
Rivina humilis
Seiurus aurocapilla
Lampropeltis triangulum triangulum
Flabellina iodinea
Aplysia californica
Buteo jamaicensis
Bucorvus leadbeateri
Carex intumescens
Cynomys ludovicianus
Cynomys gunnisoni
Charadrius nivosus
Cordia boissieri
Tringa incana
Tringa semipalmata
Hypopachus variolosus
Terathopius ecaudatus
Gallinago delicata
Buteogallus anthracinus
Amia calva
Lampropeltis getula
Chroicocephalus philadelphia
Centaurea solstitialis
Claytonia lanceolata
Chroicocephalus scopulinus
Chroicocephalus novaehollandiae
Homalosorus pycnocarpos
Chroicocephalus ridibundus
Polistes fuscatus
Vitis riparia
Lampropeltis calligaster calligaster
Leucophaeus atricilla
Leucophaeus pipixcan
Papaver rhoeas
Danaus plexippus
Tamias striatus
Dryopteris marginalis
Hydrocotyle ranunculoides
Polystichum acrostichoides
Onychoprion fuscatus
Sceptridium multifidum
Buteo platypterus
Tamias dorsalis
Sternula antillarum
Ilex vomitoria
Morella cerifera
Cocculus carolinus
Tamias merriami
Ampelopsis arborea
Polypodium vulgare
Hydroprogne caspia
Scirpus cyperinus
Thalasseus maximus
Thalasseus bergii
Thalasseus sandvicensis
Epicallima argenticinctella
Corynocarpus laevigatus
Ischnura cervula
Rubus idaeus
Heterophleps triguttaria
Streptopelia senegalensis
Scutellaria galericulata
Scutellaria mexicana
Leptopteris hymenophylloides
Verbesina virginica
Quercus phellos
Eolophus roseicapilla
Sedum album
Zanthoxylum clava-herculis
Tamiasciurus douglasii
Tamiasciurus hudsonicus
Elanoides forficatus
Sophora secundiflora
Rudbeckia triloba
Haliaeetus leucocephalus
Haliaeetus vocifer
Abies grandis
Basiaeschna janata
Cladonia cristatella
Glaucomys volans
Haliaeetus leucogaster
Senecio elegans
Solidago caesia
Ilex decidua
Centaurea calcitrapa
Hypericum hypericoides
Polistes metricus
Sesbania drummondii
Castilleja hispida
Pueraria montana
Senegalia greggii
Toxomerus politus
Bubo scandiacus
Eriophyllum staechadifolium
Ciccaba virgata
Monardella odoratissima
Urbanus procne
Sesbania herbacea
Corylus avellana
Epifagus virginiana
Crucibulum laeve
Poanes zabulon
Lapara bombycoides
Busarellus nigricollis
Pellaea atropurpurea
Uvularia grandiflora
Rostrhamus sociabilis
Juglans hindsii
Juglans californica
Juglans nigra
Anolis equestris
Trichechus manatus
Epilobium obcordatum
Darapsa choerilus
Palthis angulalis
Gyps africanus
Phleum pratense
Gyps fulvus
Jaumea carnosa
Tanacetum parthenium
Crassadoma gigantea
Apalone spinifera spinifera
Cardamine pratensis
Silene latifolia
Strongylocentrotus droebachiensis
Syngnathus leptorhynchus
Crotalus lepidus lepidus
Pseudomyrmex gracilis
Typha latifolia
Usnea intermedia
Apiomerus spissipes
Rudbeckia hirta
Enhydra lutris
Sceloporus variabilis
Steatoda capensis
Iphiclides podalirius
Haliastur indus
Andricus kingi
Solanum dimidiatum
Solanum elaeagnifolium
Campsis radicans
Solanum nigrum
Megachile sculpturalis
Ictinia mississippiensis
Anemone berlandieri
Cordulegaster dorsalis
Solidago altissima
Schizophyllum commune
Issoria lathonia
Scolia dubia
Anthrenus verbasci
Pinus jeffreyi
Mallodon dasystomus
Mirabilis laevis
Dicymolomia julianalis
Senecio minimus
Clematis virginiana
Dives dives
Sidalcea glaucescens
Tegula funebralis
Baeolophus atricristatus
Baeolophus bicolor
Baeolophus inornatus
Phallus impudicus
Calidris mauri
Sphaeralcea angustifolia
Oncopeltus fasciatus
Lactarius alnicola
Melospiza melodia
Crotaphytus bicinctores
Gambelia wislizenii
Spiraea splendens
Letharia columbiana
Sparisoma viride
Pelecinus polyturator
Mytilus californianus
Adelpha eulalia
Asclepias perennis
Ceiba pentandra
Laetiporus gilbertsonii
Carica papaya
Musca domestica
Clitocybe nuda
Antheraea polyphemus
Sceloporus occidentalis longipes
Euclea delphinii
Terminalia catappa
Corvus cornix
Thyris sepulchralis
Bleptina caradrinalis
Sapindus saponaria
Parkinsonia aculeata
Eptesicus fuscus
Veronica salicifolia
Doellingeria umbellata
Streptopus lanceolatus
Crotalus cerastes cerastes
Delonix regia
Motacilla cinerea
Senna roemeriana
Tenodera sinensis
Ochropleura implecta
Cypripedium reginae
Motacilla alba
Bloomeria crocea
Conocarpus erectus
Motacilla aguimp
Hemitomes congestum
Myioborus pictus
Psidium guajava
Pseudowintera colorata
Lampropholis delicata
Clostera albosigma
Bombus griseocollis
Halysidota tessellaris
Bignonia capreolata
Hibiscus rosa-sinensis
Phalacrocorax varius varius
Otiorhynchus sulcatus
Anteaeolidiella oliviae
Oxychilus draparnaudi
Anthus pratensis
Anthus rubescens
Streptopus amplexifolius
Leptospermum scoparium
Philesturnus rufusater
Poecile carolinensis
Poecile atricapillus
Melanerpes erythrocephalus
Poa annua
Cyathus striatus
Phragmatopoma californica
Stillingia texana
Periparus ater
Persea americana
Chlorophanes spiza
Amanita muscaria
Polypogon monspeliensis
Viola glabella
Estrilda astrild
Catharanthus roseus
Parmelia sulcata
Cyanistes caeruleus
Tanacetum bipinnatum
Euphyia intermediata
Ruellia nudiflora
Artemisia ludoviciana
Narcissus pseudonarcissus
Discus rotundatus
Graphocephala coccinea
Ambrosia chamissonis
Cardiospermum halicacabum
Tamandua mexicana
Ramalina farinacea
Sphyrapicus varius
Acer saccharinum
Acer platanoides
Rhus glabra
Petrochelidon pyrrhonota
Toxicodendron vernix
Carpinus caroliniana
Aphis nerii
Ostrya virginiana
Nephelodes minians
Passiflora caerulea
Phyciodes cocyta
Ladona deplanata
Cornus drummondii
Cornus florida
Catocala ilia
Quercus alba
Quercus bicolor
Quercus macrocarpa
Zanclus cornutus
Quercus muehlenbergii
Quercus palustris
Chlosyne nycteis
Carya cordiformis
Mycena leaiana
Carya glabra
Teloschistes chrysophthalmus
Prosopis pubescens
Lindera benzoin
Sassafras albidum
Gleditsia triacanthos
Dysphania militaris
Morus rubra
Nyssa sylvatica
Aquarius remigis
Argemone mexicana
Tradescantia fluminensis
Fraxinus nigra
Fraxinus pennsylvanica
Tragopogon pratensis
Drymarchon melanurus erebennus
Triadica sebifera
Aphelocoma woodhouseii
Passer domesticus
Kinosternon flavescens
Anavitrinella pampinaria
Amazilia yucatanensis
Amazilia tzacatl
Trientalis latifolia
Jeffersonia diphylla
Trifolium arvense
Prunus pensylvanica
Prunus serotina
Prunus virginiana
Hypercompe scribonia
Populus balsamifera
Populus grandidentata
Populus tremuloides
Harrisina americana
Microcentrum rhombifolium
Salix nigra
Amazilia violiceps
Lampropeltis splendida
Lonchura punctulata
Tilia americana
Thaumetopoea pityocampa
Nuttallina californica
Pangrapta decoralis
Romaleon antennarium
Ulmus rubra
Pyrausta tyralis
Euphorbia hypericifolia
Osmunda claytoniana
Amazilia beryllina
Spiranthes cernua
Panopoda rufimargo
Actaea pachypoda
Clematis vitalba
Bouteloua gracilis
Porphyrio melanotus melanotus
Trichostema lanceolatum
Panthea furcilla
Sciurus aberti
Muehlenbeckia axillaris
Ozothamnus leptophyllus
Leucopogon fraseri
Spizella pallida
Pseudomops septentrionalis
Hackelia virginiana
Papilio polyxenes asterius
Valeriana sitchensis
Callisaurus draconoides
Veratrum viride
Amazilia rutila
Verbena bonariensis
Zenaida aurita
Gallus gallus domesticus
Verbesina encelioides
Packera glabella
Latrodectus geometricus
Salvia coccinea
Ruellia caroliniensis
Coronella austriaca
Argia tibialis
Lottia scabra
Probole amicaria
Speyeria atlantis
Rhamnus ilicifolia
Filipendula ulmaria
Callirhoe involucrata
Washingtonia robusta
Palafoxia callosa
Prunella modularis
Anartia fatima
Cardisoma guanhumi
Engelmannia peristenia
Quercus montana
Diastictis fracturalis
Polygala sanguinea
Nereocystis luetkeana
Pholisora catullus
Eryngium yuccifolium
Celithemis elisa
Diospyros texana
Carpodetus serratus
Euphorbia marginata
Chortophaga viridifasciata viridifasciata
Viburnum lantanoides
Ixoreus naevius
Coprinus comatus
Lampornis clemenciae
Hagenius brevistylus
Coccinella californica
Salix babylonica
Thalictrum pubescens
Erythrina herbacea
Cornus unalaschkensis
Echinometra mathaei
Setophaga ruticilla
Myliobatis californica
Cornus sericea
Alnus glutinosa
Boyeria vinosa
Eriogonum fasciculatum
Allium drummondii
Sceloporus olivaceus
Thryothorus ludovicianus
Arisaema dracontium
Rhus integrifolia
Nemophila phacelioides
Anas gracilis
Sideroxylon lanuginosum
Brachymesia furcata
Calycopis isobeon
Prunus mexicana
Hypholoma fasciculare
Ranunculus repens
Phasianus colchicus
Leccinum scabrum
Ligustrum sinense
Micrathena sagittata
Gentiana clausa
Gentiana andrewsii
Parasteatoda tepidariorum
Euphorbia bicolor
Thuidium delicatulum
Rhododendron canadense
Aspidoscelis tigris
Aspidoscelis tigris stejnegeri
Zonotrichia leucophrys
Clethra alnifolia
Aphonopelma hentzi
Sida abutifolia
Aspidoscelis tigris mundus
Aphantopus hyperantus
Micrurus tener
Brechmorhoga mendax
Leukoma staminea
Cinnyris jugularis
Tremex columba
Velella velella
Aspidoscelis sexlineata sexlineata
Chortophaga viridifasciata
Nicotiana glauca
Ulmus crassifolia
Lucilia sericata
Lepisosteus oculatus
Ileodictyon cibarium
Myiarchus cinerascens
Pontia protodice
Polypodium glycyrrhiza
Oreothlypis peregrina
Oreothlypis celata
Sophora affinis
Catharus minimus
Oreothlypis ruficapilla
Symphoricarpos orbiculatus
Geothlypis tolmiei
Geothlypis philadelphia
Lagurus ovatus
Ambigolimax valentianus
Laurelia novae-zelandiae
Setophaga citrina
Setophaga tigrina
Setophaga cerulea
Centaurea stoebe micranthos
Acinonyx jubatus
Setophaga castanea
Setophaga fusca
Setophaga petechia
Setophaga pensylvanica
Setophaga striata
Setophaga palmarum
Setophaga pinus
Arctostaphylos glauca
Polygonia gracilis
Zinnia peruviana
Setophaga discolor
Campylopterus hemileucurus
Vireo cassinii
Setophaga nigrescens
Setophaga townsendi
Setophaga occidentalis
Phalaris arundinacea
Setophaga virens
Anser albifrons
Ictalurus punctatus
Platalea leucorodia
Rosmarinus officinalis
Chytolita morbidalis
Eleutherodactylus cystignathoides
Cardellina canadensis
Cardellina pusilla
Cardellina rubra
Panthera pardus
Phegopteris connectilis
Eustoma exaltatum
Tonicella lineata
Melozone fusca
Rumex obtusifolius
Heterotheca subaxillaris
Pseudacris hypochondriaca
Tradescantia pallida
Carcinus maenas
Scapanus latimanus
Acanthis flammea
Aristolochia californica
Spinus spinus
Spinus pinus
Aralia californica
Thraupis abbas
Spinus psaltria
Tachycineta albilinea
Spinus tristis
Dolomedes minor
Arnoglossum plantagineum
Gygis alba
Macrolepiota procera
Dichondra carolinensis
Pseudognaphalium microcephalum
Silene stellata
Smilax tamnoides
Picea mariana
Lycomorpha pholus
Ratibida columnifera
Tachycineta bicolor
Sitta pusilla
Anthidium manicatum
Herpetogramma pertextalis
Coenonympha tullia california
Mus musculus
Lonchura oryzivora
Hygrocybe coccinea
Chloris chloris
Accipiter cooperii
Troglodytes troglodytes
Agkistrodon piscivorus leucostoma
Agkistrodon piscivorus conanti
Agkistrodon contortrix
Sorbus americana
Agkistrodon contortrix mokasen
Agkistrodon contortrix laticinctus
Agkistrodon contortrix contortrix
Erythemis vesiculosa
Vireo solitarius
Lestes alacer
Narceus annularus
Clematis paniculata
Lestes australis
Antrozous pallidus
Lythrum alatum
Astraeus hygrometricus
Elymus canadensis
Parkinsonia florida
Lestes disjunctus
Patalene olyzonaria
Lactarius rubidus
Lestes dryas
Phyciodes graphica
Microcrambus elegans
Albizia julibrissin
Lobelia siphilitica
Crotalus oreganus helleri
Paraphidippus aurantius
Rhododendron columbianum
Veronica officinalis
Cynanthus latirostris
Anser cygnoides domesticus
Grapsus grapsus
Asplenium oblongifolium
Dysoxylum spectabile
Myrsine australis
Sophora microphylla
Crotalus ruber
Cylindropuntia leptocaulis
Triopha maculata
Aechmophorus occidentalis
Callosamia promethea
Crotalus molossus
Somateria mollissima
Crotalus molossus nigrescens
Pyrrosia eleagnifolia
Penstemon barbatus
Cynodon dactylon
Crotalus lepidus
Hyalophora cecropia
Lithophragma heterophyllum
Acer palmatum
Crotalus horridus
Elaeocarpus hookerianus
Melanoplus differentialis
Badumna longinqua
Raukaua simplex
Caenurgina erechtea
Araschnia levana
Limax maximus
Weinmannia racemosa
Knightia excelsa
Adenostoma fasciculatum
Dendroalsia abietina
Viola sempervirens
Crepidula adunca
Washingtonia filifera
Delphinium carolinianum virescens
Dalea purpurea
Eurycea longicauda
Xema sabini
Nepytia canosaria
Coprosma propinqua
Coprosma rhamnoides
Maliattha synochitis
Coprosma robusta
Coprosma rotundifolia
Fragaria chiloensis
Coriaria arborea
Kindbergia oregana
Bothrops asper
Picea abies
Larix decidua
Pachygrapsus crassipes
Ungnadia speciosa
Odocoileus virginianus clavium
Cordyline australis
Mutinus caninus
Parasola plicatilis
Melicytus alpinus
Sibbaldiopsis tridentata
Leucorrhinia frigida
Anax longipes
Eleutherodactylus planirostris
Alectryon excelsus
Pieris brassicae
Dendragapus obscurus
Lycaena phlaeas
Otala lactea
Malvaviscus arboreus
Calypso bulbosa
Potentilla indica
Picea sitchensis
Raphanus sativus
Raphanus raphanistrum
Pseudacris cadaverina
Lactarius indigo
Pyrrharctia isabella
Fremontodendron californicum
Papilio rutulus
Ammophila procera
Bothriechis schlegelii
Libellula croceipennis
Libellula cyanea
Pogonomyrmex barbatus
Ovis canadensis nelsoni
Libellula incesta
Muehlenbeckia australis
Metrosideros perforata
Pisaster giganteus
Calpodes ethlius
Metrosideros diffusa
Peridea ferruginea
Ripogonum scandens
Pholistoma auritum
Parsonsia heterophylla
Dacelo novaeguineae
Typha domingensis
Pseudacris regilla
Briza minor
Hemaris diffinis
Hirundo rustica erythrogaster
Phormium cookianum
Lycopodium volubile
Pseudacris sierra
Acanthodoris lutea
Lamium amplexicaule
Verbena halei
Dasyatis americana
Sanicula arctopoides
Sabulodes aegrotata
Calypte costae
Duttaphrynus melanostictus
Spiraea douglasii
Pterois volitans
Equisetum telmateia braunii
Bolbitius titubans
Cornus mas
Euglandina rosea
Agalinis purpurea
Fuligo septica
Aspidoscelis tigris tigris
Balanus glandula
Morinda citrifolia
Diabrotica undecimpunctata
Phrynosoma platyrhinos
Cycloneda munda
Cycloneda polita
Vernonia missurica
Comptonia peregrina
Stereum ostrea
Pseudacris crucifer
Vanessa itea
Rosa multiflora
Thamnophis sirtalis sirtalis
Pteridium esculentum
Metacarcinus magister
Chaetodon lunula
Selasphorus sasin
Hyacinthoides non-scripta
Leptophobia aripa
Strymon melinus
Annulohypoxylon thouarsianum
Collinsia heterophylla
Calochortus pulchellus
Calopteryx aequabilis
Selasphorus platycercus
Phalaenophana pyramusalis
Aspidotis densa
Syrbula admirabilis
Cantharellus cibarius
Catalpa speciosa
Ribes aureum
Charina bottae
Acronicta americana
Pycnonotus barbatus
Cornu aspersum
Verbena urticifolia
Pycnonotus jocosus
Ribes roezlii
Pycnonotus cafer
Pinus contorta contorta
Arctium lappa
Bidens frondosa
Vaccinium macrocarpon
Aphelocoma californica
Sistrurus miliarius
Holocnemus pluchei
Bellis perennis
Sequoia sempervirens
Micropterus salmoides
Exidia glandulosa
Corylus americana
Hibiscus trionum
Latrodectus mactans
Latrodectus hesperus
Acmispon americanus
Xanthoria parietina
Melanoplus bivittatus
Morus bassanus
Vitex agnus-castus
Archilochus colubris
Archilochus alexandri
Chrysogonum virginianum
Ceanothus americanus
Callirhoe pedata
Chaetodon capistratus
Junonia genoveva
Lycoris radiata
Dioscorea villosa
Spartium junceum
Panorpa nuptialis
Sympetrum fonscolombii
Coprinopsis lagopus
Emerita analoga
Gibbifer californicus
Pyrrhocoris apterus
Geitodoris heathi
Phidippus johnsoni
Pyrrhosoma nymphula
Erinaceus europaeus
Solanum dulcamara
Photinus pyralis
Cocos nucifera
Sympetrum striolatum
Pieris rapae
Lotus corniculatus
Ardea alba modesta
Erythronium albidum
Viola hastata
Zerene cesonia
Calephelis nemesis
Acacia farnesiana
Leucaena leucocephala
Celastrina argiolus
Polyommatus icarus
Yucca arkansana
Megastraea undosa
Triopha catalinae
Spheniscus demersus
Sympetrum vicinum
Eugenes fulgens
Autographa gamma
Maniola jurtina
Micropterus dolomieu
Persicaria maculosa
Acanthurus coeruleus
Doris montereyensis
Buteo regalis
Pedicularis canadensis
Lotus corniculatus corniculatus
Veronica persica
Agalinis heterophylla
Cirsium texanum
Echinocactus horizonthalonius
Contopus pertinax
Linum bienne
Leratiomyces ceres
Fraxinus latifolia
Copaeodes aurantiaca
Polygonia progne
Clarkia amoena
Cylindropuntia fulgida
Echinocereus reichenbachii
Echinocereus stramineus
Persicaria lapathifolia
Zelus luridus
Parus major
Yucca elata
Diaulula sandiegensis
Lunularia cruciata
Yucca rupicola
Alisma triviale
Oncorhynchus mykiss
Chaetura vauxi
Salmo trutta
Ladona depressa
Prunus emarginata
Pseudotsuga menziesii menziesii
Eristalis tenax
Silene vulgaris
Chaetura pelagica
Symphytum officinale
Cymbalaria muralis
Lithobates palustris
Spergularia rubra
Vitis californica
Carex plantaginea
Yucca treculeana
Sedum acre
Rubus spectabilis
Sanguisorba minor
Andricus crystallinus
Bombus huntii
Juglans regia
Trifolium repens
Misumena vatia
Maianthemum dilatatum
