Hermodice carunculata
Rana temporaria
Rana uenoi
Chiromantis xerampelina
Polypedates leucomystax
Polypedates megacephalus
Rhinophrynus dorsalis
Scaphiopus couchii
Ambystoma californiense
Ambystoma maculatum
Ambystoma opacum
Ambystoma talpoideum
Dicamptodon ensatus
Hynobius leechii
Hynobius quelpaertensis
Onychodactylus koreanus
Aneides aeneus
Aneides flavipunctatus
Aneides lugubris
Batrachoseps attenuatus
Batrachoseps gavilanensis
Desmognathus conanti
Desmognathus monticola
Desmognathus quadramaculatus
Ensatina eschscholtzii
Eurycea bislineata
Eurycea guttolineata
Eurycea quadridigitata
Eurycea troglodytes
Eurycea wilderae
Karsenia koreana
Plethodon albagula
Plethodon cinereus
Plethodon cylindraceus
Plethodon dunni
Plethodon serratus
Speleomantes strinatii
Lissotriton vulgaris
Notophthalmus viridescens
Salamandra lanzai
Salamandra salamandra
Salamandrina perspicillata
Taricha granulosa
Taricha torosa
Triturus carnifex
Siren intermedia
Botrylloides violaceus
Botryllus schlosseri
Cnemidocarpa finmarkiensis
Styela montereyensis
Accipiter badius
Accipiter cooperii
Accipiter striatus
Aegypius monachus
Aquila audax
Aquila chrysaetos
Aquila nipalensis
Aquila rapax
Buteo augur
Buteo buteo
Buteo galapagoensis
Buteo jamaicensis
Buteo lagopus
Buteo lineatus
Buteo plagiatus
Buteo platypterus
Buteo regalis
Buteo rufinus
Buteo swainsoni
Buteogallus anthracinus
Buteogallus meridionalis
Buteogallus urubitinga
Chondrohierax uncinatus
Circaetus cinereus
Circaetus pectoralis
Circus approximans
Circus cyaneus
Circus hudsonius
Circus pygargus
Elanus caeruleus
Elanus leucurus
Geranoaetus albicaudatus
Geranoaetus melanoleucus
Geranoaetus polyosoma
Geranospiza caerulescens
Gypaetus barbatus
Gypohierax angolensis
Gyps rueppelli
Haliaeetus albicilla
Haliaeetus leucocephalus
Haliastur sphenurus
Hieraaetus pennatus
Ictinia mississippiensis
Ictinia plumbea
Kaupifalco monogrammicus
Lophaetus occipitalis
Melierax canorus
Milvus migrans
Milvus milvus
Necrosyrtes monachus
Neophron percnopterus
Parabuteo unicinctus
Pernis apivorus
Pernis ptilorhynchus
Polemaetus bellicosus
Polyboroides typus
Pseudastur albicollis
Rostrhamus sociabilis
Rupornis magnirostris
Spilornis cheela
Spizaetus ornatus
Torgos tracheliotos
Trigonoceps occipitalis
Pandion haliaetus
Aix sponsa
Alopochen aegyptiaca
Amazonetta brasiliensis
Anas acuta
Anas castanea
Anas crecca
Anas erythrorhyncha
Anas flavirostris
Anas fulvigula
Anas georgica
Anas platyrhynchos
Anas poecilorhyncha
Anas rubripes
Anas superciliosa
Anas undulata
Anas zonorhyncha
Anser albifrons
Anser anser
Anser brachyrhynchus
Anser caerulescens
Anser cygnoides
Anser fabalis
Anser rossii
Anser serrirostris
Aythya affinis
Aythya americana
Aythya australis
Aythya collaris
Aythya ferina
Aythya fuligula
Aythya marila
Aythya nyroca
Aythya valisineria
Branta bernicla
Branta canadensis
Branta hutchinsii
Bucephala albeola
Bucephala clangula
Bucephala islandica
Cairina moschata
Chenonetta jubata
Chloephaga picta
Clangula hyemalis
Coscoroba coscoroba
Cygnus atratus
Cygnus buccinator
Cygnus columbianus
Cygnus cygnus
Cygnus melancoryphus
Cygnus olor
Dendrocygna autumnalis
Dendrocygna javanica
Histrionicus histrionicus
Lophodytes cucullatus
Mareca americana
Mareca falcata
Mareca penelope
Mareca sibilatrix
Mareca strepera
Melanitta americana
Melanitta perspicillata
Merganetta armata
Mergellus albellus
Mergus merganser
Mergus serrator
Oxyura jamaicensis
Plectropterus gambensis
Sarkidiornis melanotos
Somateria mollissima
Somateria spectabilis
Spatula clypeata
Spatula cyanoptera
Spatula discors
Spatula querquedula
Spatula rhynchotis
Tadorna tadornoides
Tadorna variegata
Chauna torquata
Anseranas semipalmata
Anthracoceros albirostris
Lophoceros alboterminatus
Lophoceros fasciatus
Lophoceros nasutus
Tockus erythrorhynchus
Tockus leucomelas
Tockus rufirostris
Bucorvus abyssinicus
Phoeniculus purpureus
Upupa epops
Aeronautes saxatalis
Chaetura pelagica
Streptoprocne zonaris
Antrostomus carolinensis
Antrostomus vociferus
Chordeiles minor
Nyctibius grandis
Nyctibius griseus
Podargus strigoides
Amazilia beryllina
Amazilia candida
Amazilia cyanocephala
Amazilia rutila
Amazilia violiceps
Amazilia yucatanensis
Anthracothorax nigricollis
Anthracothorax prevostii
Archilochus alexandri
Archilochus colubris
Calypte anna
Calypte costae
Campylopterus curvipennis
Chlorostilbon canivetii
Chlorostilbon lucidus
Chlorostilbon ricordii
Colibri coruscans
Colibri cyanotus
Colibri thalassinus
Cynanthus latirostris
Eugenes fulgens
Eugenes spectabilis
Heliodoxa jacula
Heliomaster constantii
Lampornis calolaemus
Ocreatus underwoodii
Orthorhyncus cristatus
Panterpe insignis
Phaethornis guy
Phaethornis longirostris
Selasphorus platycercus
Selasphorus rufus
Selasphorus sasin
Thalurania colombica
Cariama cristata
Dromaius novaehollandiae
Cathartes aura
Coragyps atratus
Gymnogyps californianus
Vultur gryphus
Brachyramphus marmoratus
Cepphus columba
Fratercula corniculata
Ptychoramphus aleuticus
Synthliboramphus antiquus
Uria aalge
Burhinus bistriatus
Burhinus capensis
Burhinus grallarius
Burhinus senegalensis
Burhinus vermiculatus
Charadrius alexandrinus
Charadrius bicinctus
Charadrius collaris
Charadrius marginatus
Charadrius melodus
Charadrius nivosus
Charadrius obscurus
Charadrius ruficapillus
Charadrius semipalmatus
Charadrius tricollaris
Charadrius vociferus
Charadrius wilsonia
Elseyornis melanops
Pluvialis apricaria
Pluvialis fulva
Pluvialis squatarola
Vanellus albiceps
Vanellus chilensis
Vanellus coronatus
Vanellus indicus
Vanellus senegallus
Vanellus vanellus
Haematopus bachmani
Haematopus fuliginosus
Haematopus longirostris
Haematopus palliatus
Haematopus unicolor
Jacana spinosa
Anous minutus
Chlidonias hybrida
Chlidonias leucopterus
Chlidonias niger
Chroicocephalus bulleri
Chroicocephalus cirrocephalus
Chroicocephalus genei
Chroicocephalus maculipennis
Chroicocephalus novaehollandiae
Chroicocephalus philadelphia
Chroicocephalus ridibundus
Chroicocephalus scopulinus
Creagrus furcatus
Hydrocoloeus minutus
Hydroprogne caspia
Ichthyaetus melanocephalus
Larosterna inca
Larus argentatus
Larus belcheri
Larus californicus
Larus canus
Larus crassirostris
Larus delawarensis
Larus dominicanus
Larus fuscus
Larus glaucescens
Larus glaucoides
Larus heermanni
Larus hyperboreus
Larus marinus
Larus michahellis
Larus occidentalis
Larus pacificus
Larus schistisagus
Leucophaeus atricilla
Leucophaeus pipixcan
Onychoprion anaethetus
Phaetusa simplex
Rissa tridactyla
Rynchops niger
Sterna forsteri
Sterna hirundo
Sterna paradisaea
Sterna striata
Sternula albifrons
Sternula antillarum
Thalasseus elegans
Thalasseus maximus
Thalasseus sandvicensis
Himantopus himantopus
Himantopus leucocephalus
Himantopus mexicanus
Recurvirostra americana
Rostratula benghalensis
Actitis hypoleucos
Actitis macularius
Arenaria interpres
Arenaria melanocephala
Calidris acuminata
Calidris alba
Calidris alpina
Calidris mauri
Calidris melanotos
Calidris minuta
Calidris minutilla
Calidris ptilocnemis
Calidris pusilla
Calidris ruficollis
Calidris virgata
Gallinago delicata
Limnodromus griseus
Limosa fedoa
Numenius americanus
Numenius madagascariensis
Numenius phaeopus
Phalaropus lobatus
Phalaropus tricolor
Tringa erythropus
Tringa flavipes
Tringa incana
Tringa melanoleuca
Tringa semipalmata
Tringa solitaria
Tringa stagnatilis
Xenus cinereus
Stercorarius antarcticus
Stercorarius longicaudus
Stercorarius maccormicki
Anastomus oscitans
Ciconia boyciana
Ciconia ciconia
Ciconia episcopus
Ciconia maguari
Ciconia nigra
Leptoptilos javanicus
Mycteria americana
Mycteria leucocephala
Colius striatus
Chalcophaps indica
Columba guinea
Columba livia
Columba oenas
Columba palumbus
Columbina inca
Columbina passerina
Columbina talpacoti
Geopelia humeralis
Geopelia placida
Geopelia striata
Hemiphaga novaeseelandiae
Leptotila verreauxi
Oena capensis
Patagioenas cayennensis
Patagioenas fasciata
Patagioenas flavirostris
Patagioenas maculosa
Patagioenas picazuro
Phaps chalcoptera
Streptopelia capicola
Streptopelia chinensis
Streptopelia decaocto
Streptopelia decipiens
Streptopelia orientalis
Streptopelia roseogrisea
Streptopelia semitorquata
Streptopelia senegalensis
Treron calvus
Treron vernans
Turtur chalcospilos
Zenaida asiatica
Zenaida aurita
Zenaida galapagoensis
Zenaida macroura
Alcedo atthis
Chloroceryle amazona
Chloroceryle americana
Corythornis cristatus
Halcyon albiventris
Halcyon chelicuti
Halcyon leucocephala
Halcyon senegalensis
Ispidina picta
Megaceryle alcyon
Megaceryle maxima
Megaceryle torquata
Pelargopsis capensis
Todiramphus sanctus
Coracias abyssinicus
Coracias naevius
Eurystomus glaucurus
Eurystomus orientalis
Merops bullockoides
Merops nubicoides
Merops ornatus
Merops philippinus
Baryphthengus martii
Electron platyrhynchum
Eumomota superciliosa
Momotus aequatorialis
Momotus coeruliceps
Momotus mexicanus
Centropus senegalensis
Centropus sinensis
Centropus superciliosus
Chrysococcyx lucidus
Coccyzus americanus
Crotophaga major
Crotophaga sulcirostris
Eudynamys scolopaceus
Geococcyx californianus
Guira guira
Piaya cayana
Corythaixoides concolor
Eurypyga helias
Caracara cheriway
Falco cenchroides
Falco columbarius
Falco naumanni
Falco peregrinus
Falco rusticolus
Falco sparverius
Falco tinnunculus
Micrastur semitorquatus
Milvago chimango
Malacoptila panamensis
Monasa nigrifrons
Notharchus hyperrhynchus
Ortalis cinereiceps
Ortalis vetula
Ortalis wagleri
Megapodius reinwardt
Callipepla californica
Callipepla douglasii
Callipepla gambelii
Callipepla squamata
Colinus virginianus
Oreortyx pictus
Alectoris chukar
Bonasa umbellus
Centrocercus urophasianus
Dendroperdix sephaena
Gallus gallus
Lagopus leucura
Lagopus muta
Meleagris gallopavo
Pavo cristatus
Perdix perdix
Phasianus colchicus
Pternistis afer
Tympanuchus phasianellus
Gavia immer
Gavia pacifica
Gavia stellata
Aramus guarauna
Anthropoides paradiseus
Antigone canadensis
Grus grus
Grus monacha
Heliornis fulica
Aramides albiventris
Aramides cajaneus
Fulica alai
Fulica americana
Fulica armillata
Fulica atra
Fulica cristata
Gallinula chloropus
Gallinula galeata
Gallinula tenebrosa
Gallirallus australis
Gallirallus philippensis
Porphyrio martinica
Porphyrio melanotus
Porzana carolina
Rallus aquaticus
Rallus elegans
Rallus limicola
Zapornia flavirostra
Eupodotis afraoides
Lissotis melanogaster
Acanthisitta chloris
Xenicus gilviventris
Gerygone igata
Sericornis frontalis
Acrocephalus arundinaceus
Acrocephalus schoenobaenus
Acrocephalus scirpaceus
Aegithalos caudatus
Psaltriparus minimus
Aegithina tiphia
Alauda arvensis
Eremophila alpestris
Galerida cristata
Lullula arborea
Artamus leucorynchus
Bombycilla cedrorum
Bombycilla garrulus
Buphagus africanus
Buphagus erythrorhynchus
Calcarius ornatus
Plectrophenax nivalis
Callaeas wilsoni
Coracina novaehollandiae
Cardinalis cardinalis
Cardinalis sinuatus
Habia fuscicauda
Passerina amoena
Passerina caerulea
Passerina ciris
Passerina cyanea
Pheucticus chrysopeplus
Pheucticus ludovicianus
Pheucticus melanocephalus
Piranga ludoviciana
Piranga olivacea
Piranga rubra
Spiza americana
Certhia americana
Certhia brachydactyla
Certhia familiaris
Cinclus mexicanus
Camaroptera brachyura
Cisticola juncidis
Orthotomus sutorius
Prinia socialis
Prinia subflava
Aphelocoma californica
Aphelocoma insularis
Aphelocoma wollweberi
Aphelocoma woodhouseii
Corvus brachyrhynchos
Corvus corax
Corvus cornix
Corvus corone
Corvus coronoides
Corvus cryptoleucus
Corvus frugilegus
Corvus macrorhynchos
Corvus monedula
Corvus sinaloae
Cyanocitta cristata
Cyanocitta stelleri
Cyanocorax beecheii
Cyanocorax chrysops
Cyanocorax sanblasianus
Cyanocorax yncas
Cyanocorax yucatanicus
Cyanopica cooki
Cyanopica cyanus
Dendrocitta formosae
Dendrocitta vagabunda
Garrulus glandarius
Gymnorhinus cyanocephalus
Nucifraga caryocatactes
Nucifraga columbiana
Perisoreus canadensis
Pica hudsonia
Pica nuttalli
Pica pica
Psilorhinus morio
Pyrrhocorax pyrrhocorax
Urocissa erythroryncha
Cracticus nigrogularis
Cracticus torquatus
Gymnorhina tibicen
Strepera graculina
Dicaeum cruentatum
Dicrurus leucophaeus
Dicrurus macrocercus
Dicrurus paradiseus
Donacobius atricapilla
Emberiza cia
Emberiza cirlus
Emberiza citrinella
Emberiza elegans
Emberiza melanocephala
Emberiza rustica
Euodice malabarica
Lagonosticta senegala
Lonchura atricapilla
Lonchura punctulata
Neochmia temporalis
Spermestes cucullata
Uraeginthus angolensis
Uraeginthus bengalus
Acanthis cabaret
Acanthis flammea
Acanthis hornemanni
Carduelis carduelis
Chloris chloris
Chloris sinica
Coccothraustes coccothraustes
Coccothraustes vespertinus
Crithagra mozambica
Euphonia gouldi
Euphonia laniirostris
Fringilla coelebs
Haemorhous cassinii
Haemorhous mexicanus
Haemorhous purpureus
Himatione sanguinea
Leucosticte tephrocotis
Linaria cannabina
Loxia curvirostra
Pyrrhula pyrrhula
Spinus lawrencei
Spinus magellanicus
Spinus notatus
Spinus pinus
Spinus psaltria
Spinus tristis
Furnarius leucopus
Furnarius rufus
Lepidocolaptes souleyetii
Sittasomus griseicapillus
Cecropis abyssinica
Cecropis daurica
Delichon urbicum
Hirundo neoxena
Hirundo rustica
Hirundo smithii
Hirundo tahitica
Petrochelidon pyrrhonota
Progne chalybea
Progne subis
Progne tapera
Ptyonoprogne rupestris
Pygochelidon cyanoleuca
Riparia riparia
Stelgidopteryx ruficollis
Stelgidopteryx serripennis
Tachycineta albilinea
Tachycineta albiventer
Tachycineta bicolor
Tachycineta thalassina
Agelaioides badius
Agelaius phoeniceus
Agelaius tricolor
Cacicus cela
Cassiculus melanicterus
Dolichonyx oryzivorus
Euphagus carolinus
Euphagus cyanocephalus
Icterus abeillei
Icterus auratus
Icterus bullockii
Icterus chrysater
Icterus cucullatus
Icterus galbula
Icterus gularis
Icterus mesomelas
Icterus nigrogularis
Icterus parisorum
Icterus pectoralis
Icterus prosthemelas
Icterus pustulatus
Icterus spurius
Molothrus aeneus
Molothrus ater
Molothrus bonariensis
Psarocolius decumanus
Psarocolius montezuma
Psarocolius wagleri
Quiscalus lugubris
Quiscalus major
Quiscalus mexicanus
Quiscalus quiscula
Sturnella loyca
Sturnella magna
Sturnella neglecta
Xanthocephalus xanthocephalus
Icteria virens
Corvinella melanoleuca
Lanius borealis
Lanius bucephalus
Lanius collaris
Lanius collurio
Lanius cristatus
Lanius excubitor
Lanius ludovicianus
Lanius meridionalis
Lanius minor
Lanius schach
Lanius senator
Leiothrix lutea
Turdoides striata
Megalurus punctatus
Malurus splendens
Acanthorhynchus tenuirostris
Anthochaera carunculata
Anthochaera chrysoptera
Anthornis melanura
Entomyzon cyanotis
Gavicalis virescens
Lichmera indistincta
Meliphaga lewinii
Phylidonyris novaehollandiae
Prosthemadera novaeseelandiae
Dumetella carolinensis
Margarops fuscatus
Melanoptila glabrirostris
Melanotis caerulescens
Mimus gilvus
Mimus longicaudatus
Mimus parvulus
Mimus polyglottos
Mimus saturninus
Toxostoma crissale
Toxostoma curvirostre
Toxostoma longirostre
Toxostoma redivivum
Toxostoma rufum
Mohoua albicilla
Hypothymis azurea
Terpsiphone mutata
Terpsiphone viridis
Anthus cervinus
Anthus novaeseelandiae
Anthus petrosus
Anthus rubescens
Anthus rufulus
Anthus spinoletta
Anthus spragueii
Anthus trivialis
Macronyx croceus
Motacilla alba
Motacilla capensis
Motacilla cinerea
Motacilla maderaspatensis
Cercomela familiaris
Copsychus fulicatus
Cossypha caffra
Cossypha heuglini
Erithacus rubecula
Luscinia megarhynchos
Monticola saxatilis
Muscicapa dauurica
Myophonus caeruleus
Oenanthe hispanica
Oenanthe isabellina
Oenanthe oenanthe
Phoenicurus auroreus
Phoenicurus fuliginosus
Phoenicurus ochruros
Phoenicurus phoenicurus
Saxicola caprata
Saxicola maurus
Saxicola rubetra
Saxicola torquatus
Aethopyga siparaja
Anthreptes malacensis
Chalcomitra senegalensis
Cinnyris asiaticus
Cinnyris osea
Cinnyris venustus
Hedydipna collaris
Oriolus chinensis
Oriolus oriolus
Sphecotheres vieilloti
Colluricincla harmonica
Pachycephala pectoralis
Pachycephala rufiventris
Chamaea fasciata
Sinosuthora webbiana
Baeolophus atricristatus
Baeolophus bicolor
Baeolophus inornatus
Baeolophus ridgwayi
Baeolophus wollweberi
Cyanistes caeruleus
Lophophanes cristatus
Parus major
Parus minor
Periparus ater
Poecile atricapillus
Poecile carolinensis
Poecile gambeli
Poecile hudsonicus
Poecile montanus
Poecile palustris
Poecile rufescens
Poecile sclateri
Sittiparus varius
Basileuterus culicivorus
Basileuterus rufifrons
Cardellina pusilla
Cardellina rubrifrons
Geothlypis poliocephala
Geothlypis tolmiei
Geothlypis trichas
Limnothlypis swainsonii
Mniotilta varia
Oporornis agilis
Oreothlypis celata
Oreothlypis luciae
Oreothlypis peregrina
Oreothlypis ruficapilla
Oreothlypis superciliosa
Oreothlypis virginiae
Parkesia motacilla
Parkesia noveboracensis
Protonotaria citrea
Seiurus aurocapilla
Setophaga americana
Setophaga caerulescens
Setophaga citrina
Setophaga coronata
Setophaga discolor
Setophaga dominica
Setophaga fusca
Setophaga graciae
Setophaga kirtlandii
Setophaga magnolia
Setophaga nigrescens
Setophaga occidentalis
Setophaga palmarum
Setophaga pensylvanica
Setophaga petechia
Setophaga pinus
Setophaga pitiayumi
Setophaga ruticilla
Setophaga striata
Setophaga townsendi
Setophaga virens
Aimophila rufescens
Aimophila ruficeps
Ammodramus henslowii
Ammodramus leconteii
Ammodramus savannarum
Amphispiza bilineata
Arremonops rufivirgatus
Artemisiospiza nevadensis
Atlapetes pileatus
Chlorospingus flavopectus
Chondestes grammacus
Junco hyemalis
Junco phaeonotus
Melospiza georgiana
Melospiza lincolnii
Melospiza melodia
Melozone albicollis
Melozone crissalis
Melozone fusca
Melozone kieneri
Passerculus sandwichensis
Passerella iliaca
Peucaea aestivalis
Peucaea botterii
Peucaea carpalis
Peucaea cassinii
Pipilo chlorurus
Pipilo erythrophthalmus
Pipilo maculatus
Pooecetes gramineus
Spizella breweri
Spizella pallida
Spizella passerina
Spizella pusilla
Spizelloides arborea
Zonotrichia albicollis
Zonotrichia atricapilla
Zonotrichia capensis
Zonotrichia leucophrys
Zonotrichia querula
Passer diffusus
Passer domesticus
Passer griseus
Passer hispaniolensis
Passer melanurus
Passer montanus
Petronia petronia
Eopsaltria australis
Petroica australis
Petroica boodang
Petroica macrocephala
Peucedramus taeniatus
Phylloscopus collybita
Phylloscopus trochilus
Ceratopipra mentalis
Manacus candei
Euplectes franciscanus
Euplectes orix
Plocepasser mahali
Ploceus baglafecht
Ploceus cucullatus
Ploceus philippinus
Ploceus velatus
Quelea quelea
Polioptila albiloris
Polioptila caerulea
Polioptila californica
Promerops cafer
Prunella collaris
Prunella modularis
Phainopepla nitens
Ptiliogonys cinereus
Ptilonorhynchus violaceus
Hypsipetes amaurotis
Pycnonotus aurigaster
Pycnonotus goiavier
Pycnonotus leucotis
Pycnonotus sinensis
Pycnonotus xanthopygos
Regulus calendula
Regulus satrapa
Auriparus flaviceps
Remiz pendulinus
Rhipidura albiscapa
Rhipidura fuliginosa
Rhipidura javanica
Rhipidura leucophrys
Sitta canadensis
Sitta carolinensis
Sitta europaea
Sitta pygmaea
Spindalis zena
Acridotheres cristatellus
Acridotheres fuscus
Acridotheres javanicus
Acridotheres tristis
Aplonis panayensis
Cinnyricinclus leucogaster
Gracupica contra
Gracupica nigricollis
Lamprotornis chalybaeus
Lamprotornis nitens
Lamprotornis superbus
Spodiopsar cineraceus
Sturnus unicolor
Sturnus vulgaris
Sylvia atricapilla
Sylvia communis
Sylvia curruca
Sylvia melanocephala
Coereba flaveola
Dacnis cayana
Embernagra platensis
Eucometis penicillata
Geospiza fuliginosa
Loxigilla noctis
Paroaria coronata
Paroaria gularis
Ramphocelus dimidiatus
Ramphocelus flammigerus
Ramphocelus sanguinolentus
Saltator aurantiirostris
Saltator coerulescens
Saltator maximus
Sicalis flaveola
Sporophila caerulescens
Sporophila corvina
Sporophila minuta
Sporophila nigricollis
Sporophila torqueola
Tachyphonus rufus
Tangara cyanicollis
Tangara gyrola
Tangara larvata
Tangara vitriolina
Thraupis abbas
Thraupis episcopus
Thraupis sayaca
Tiaris bicolor
Volatinia jacarina
Pachyramphus aglaiae
Tityra inquisitor
Tityra semifasciata
Campylorhynchus brunneicapillus
Campylorhynchus griseus
Campylorhynchus gularis
Campylorhynchus zonatus
Catherpes mexicanus
Cistothorus palustris
Salpinctes obsoletus
Thryomanes bewickii
Thryophilus pleurostictus
Thryophilus sinaloa
Thryothorus ludovicianus
Troglodytes aedon
Troglodytes pacificus
Catharus aurantiirostris
Catharus fuscescens
Catharus guttatus
Catharus ustulatus
Hylocichla mustelina
Ixoreus naevius
Myadestes occidentalis
Myadestes townsendi
Sialia currucoides
Sialia mexicana
Sialia sialis
Turdus amaurochalinus
Turdus assimilis
Turdus eunomus
Turdus falcklandii
Turdus fuscater
Turdus grayi
Turdus ignobilis
Turdus iliacus
Turdus leucomelas
Turdus libonyana
Turdus merula
Turdus migratorius
Turdus philomelos
Turdus pilaris
Turdus rufiventris
Turdus rufopalliatus
Turdus torquatus
Arundinicola leucocephala
Contopus cooperi
Contopus sordidulus
Contopus virens
Elaenia flavogaster
Empidonax alnorum
Empidonax difficilis
Empidonax flaviventris
Empidonax oberholseri
Empidonax virescens
Empidonax wrightii
Fluvicola nengeta
Hymenops perspicillatus
Machetornis rixosa
Megarynchus pitangua
Myiarchus cinerascens
Myiarchus crinitus
Myiarchus magnirostris
Myiodynastes luteiventris
Myiodynastes maculatus
Myiozetetes cayanensis
Myiozetetes similis
Pitangus sulphuratus
Pyrocephalus rubinus
Sayornis nigricans
Sayornis phoebe
Sayornis saya
Todirostrum cinereum
Tolmomyias sulphurescens
Tyrannus caudifasciatus
Tyrannus forficatus
Tyrannus melancholicus
Tyrannus tyrannus
Tyrannus verticalis
Tyrannus vociferans
Prionops plumatus
Vidua macroura
Cyclarhis gujanensis
Vireo altiloquus
Vireo atricapilla
Vireo flavoviridis
Vireo gilvus
Vireo griseus
Vireo huttoni
Vireo olivaceus
Vireo pallens
Vireo solitarius
Zosterops lateralis
Zosterops palpebrosus
Ardea alba
Ardea cinerea
Ardea goliath
Ardea herodias
Ardea intermedia
Ardea melanocephala
Ardeola bacchus
Ardeola grayii
Ardeola ralloides
Botaurus lentiginosus
Botaurus stellaris
Bubulcus ibis
Butorides striata
Butorides virescens
Egretta caerulea
Egretta garzetta
Egretta novaehollandiae
Egretta rufescens
Egretta thula
Egretta tricolor
Ixobrychus minutus
Ixobrychus sinensis
Nyctanassa violacea
Nycticorax caledonicus
Nycticorax nycticorax
Pilherodius pileatus
Syrigma sibilatrix
Tigrisoma lineatum
Tigrisoma mexicanum
Pelecanus conspicillatus
Pelecanus crispus
Pelecanus erythrorhynchos
Pelecanus occidentalis
Pelecanus rufescens
Pelecanus thagus
Eudocimus albus
Mesembrinibis cayennensis
Phimosus infuscatus
Platalea ajaja
Plegadis chihi
Plegadis falcinellus
Theristicus caudatus
Theristicus melanopis
Threskiornis aethiopicus
Threskiornis molucca
Threskiornis spinicollis
Phaethon lepturus
Phaethon rubricauda
Phoeniconaias minor
Phoenicopterus chilensis
Phoenicopterus roseus
Phoenicopterus ruber
Eubucco bourcierii
Lybius torquatus
Trachyphonus vaillantii
Psilopogon haemacephalus
Campephilus melanoleucos
Colaptes auratus
Colaptes campestris
Colaptes chrysoides
Colaptes melanochloros
Colaptes punctigula
Dendrocopos major
Dendrocopos medius
Dendrocopos minor
Dendrocopos syriacus
Dendropicos fuscescens
Dinopium benghalense
Dryocopus lineatus
Dryocopus martius
Dryocopus pileatus
Jynx torquilla
Melanerpes aurifrons
Melanerpes carolinus
Melanerpes chrysogenys
Melanerpes erythrocephalus
Melanerpes formicivorus
Melanerpes hoffmannii
Melanerpes hypopolius
Melanerpes pygmaeus
Melanerpes rubricapillus
Melanerpes striatus
Melanerpes uropygialis
Picoides arizonae
Picoides borealis
Picoides nuttallii
Picoides pubescens
Picoides scalaris
Picoides villosus
Picus canus
Sphyrapicus ruber
Sphyrapicus varius
Aulacorhynchus prasinus
Ramphastos toco
Aechmophorus clarkii
Aechmophorus occidentalis
Podiceps auritus
Podiceps cristatus
Podiceps grisegena
Podiceps major
Podiceps nigricollis
Podilymbus podiceps
Poliocephalus rufopectus
Rollandia rolland
Tachybaptus dominicus
Tachybaptus novaehollandiae
Tachybaptus ruficollis
Diomedea epomophora
Diomedea exulans
Phoebastria nigripes
Thalassarche cauta
Thalassarche melanophris
Oceanodroma furcata
Ardenna bulleri
Ardenna creatopus
Ardenna grisea
Ardenna pacifica
Calonectris diomedea
Daption capense
Fulmarus glacialis
Macronectes giganteus
Macronectes halli
Puffinus opisthomelas
Cacatua sanguinea
Cacatua tenuirostris
Calyptorhynchus banksii
Calyptorhynchus funereus
Eolophus roseicapilla
Amazona autumnalis
Amazona finschi
Amazona ochrocephala
Ara ararauna
Ara chloropterus
Brotogeris chiriri
Brotogeris jugularis
Eupsittula canicularis
Eupsittula pertinax
Forpus conspicillatus
Myiopsitta monachus
Pionus menstruus
Pionus senilis
Psittacara leucophthalmus
Psittacara mitratus
Agapornis roseicollis
Barnardius zonarius
Psephotus haematonotus
Psittacula eupatria
Psittacula krameri
Trichoglossus haematodus
Nestor meridionalis
Rhea pennata
Aptenodytes patagonicus
Pygoscelis adeliae
Pygoscelis papua
Spheniscus magellanicus
Spheniscus mendiculus
Asio otus
Athene brama
Athene cunicularia
Bubo africanus
Bubo bubo
Bubo lacteus
Bubo scandiacus
Bubo virginianus
Glaucidium brasilianum
Glaucidium perlatum
Megascops asio
Megascops choliba
Megascops trichopsis
Micrathene whitneyi
Ninox novaeseelandiae
Strix aluco
Strix occidentalis
Strix varia
Tyto alba
Anhinga anhinga
Fregata magnificens
Microcarbo africanus
Microcarbo melanoleucos
Microcarbo niger
Microcarbo pygmeus
Phalacrocorax aristotelis
Phalacrocorax auritus
Phalacrocorax brasilianus
Phalacrocorax capensis
Phalacrocorax carbo
Phalacrocorax pelagicus
Phalacrocorax penicillatus
Phalacrocorax punctatus
Phalacrocorax varius
Morus bassanus
Sula leucogaster
Sula nebouxii
Sula sula
Sula variegata
Trogon elegans
Trogon melanocephalus
Trogon mexicanus
Trogon personatus
Trogon rufus
Carcharhinus amblyrhynchos
Carcharhinus melanopterus
Triaenodon obesus
Heterodontus francisci
Heterodontus portusjacksoni
Carcharodon carcharias
Carcharias taurus
Dasyatis brevicaudata
Dasyatis sabina
Himantura fai
Pastinachus ater
Taeniura lymma
Taeniurops meyeni
Aetobatus ocellatus
Manta alfredi
Myliobatis tenuicaudatus
Trygonoptera imitata
Trygonoptera testacea
Urolophus halleri
Urobatis jamaicensis
Orectolobus halei
Orectolobus maculatus
Stegostoma fasciatum
Rhynchobatus australiae
Trygonorrhina dumerilii
Trygonorrhina fasciata
Antilocapra americana
Aepyceros melampus
Alcelaphus buselaphus
Antidorcas marsupialis
Bison bison
Boselaphus tragocamelus
Capra ibex
Cephalophus rufilatus
Connochaetes taurinus
Damaliscus lunatus
Damaliscus pygargus
Eudorcas thomsonii
Gazella gazella
Hippotragus equinus
Hippotragus niger
Kobus kob
Madoqua kirkii
Nanger granti
Oreamnos americanus
Oreotragus oreotragus
Oryx gazella
Ourebia ourebi
Ovibos moschatus
Ovis canadensis
Ovis dalli
Raphicerus campestris
Redunca redunca
